;title;author;published_date;published_date_precision;link;clean_url;excerpt;summary;rights;rank;topic;country;language;authors;media;is_opinion;twitter_account;_score;_id;used_params
0;Why Bitcoin, Ethereum, and Dogecoin Are All Soaring Today;Zhiyuan Sun (TMFZhiyuanSun);2021-08-20 15:47:00;full;https://www.fool.com/investing/2021/08/20/why-bitcoin-ethereum-and-dogecoin-are-all-soaring/;fool.com;Cryptocurrency adoption is rapidly gaining momentum.;"Bitcoin (CRYPTO:BTC), Ethereum (CRYPTO:ETH), and Dogecoin (CRYPTO:DOGE) are up 6.82%, 8.16%, and 8.36% in the past 24 hours. As of 10:30 a.m. EDT, they are now trading at $48,518.76 per coin, $3,293.94 per token, and $0.3319 apiece, respectively. 
Earlier in the day, Coinbase Global (NASDAQ:COIN), the second-largest cryptocurrency exchange in the world, announced it would be adding $500 million worth of cryptocurrency to its balance sheet. The move sent the whole sector into a monstrous rally. C";Copyright 1995-2021 The Motley Fool. All rights reserved.;781;finance;unknown;en;['Zhiyuan Sun'];https://g.foolcdn.com/editorial/images/640139/gettyimages-1171929176.jpg;False;@themotleyfool;28.841278;1dd1c1ad83f8335bd656f9b9dbd351f9;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
1;Yes, You Can Buy a Tesla with Dogecoin – Only Not from Tesla Itself;Vance Cariaga;2021-08-19 11:45:23;full;https://www.gobankingrates.com/saving-money/car/buy-a-tesla-with-dogecoin/;gobankingrates.com;Bots, Inc will allow local car dealerships to accept crypto.;"You can now buy a Tesla using dogecoin, but you'll have to go through a different company to do it.
See: Tesla's Musk Calls Chip Shortage ‘Problematic' Amid Fierce Chinese EV Competition
Find: Looking to Buy a Tesla Car? You May Want to Price Insurance First
In a Monday press release, Bots Inc., a global blockchain technology company, announced that it will let users buy Teslas and other cars with Dogecoin, a cryptocurrency based on the popular 'Doge' internet meme.
Bots said it will allow local";gobankingrates.com;8201;news;unknown;en;['Vance Cariaga', 'About The Author'];https://cdn.gobankingrates.com/wp-content/uploads/2021/08/iStock-942806696-e1629374479477.jpg;False;;27.36035;2bc16fccac81ed08b3e5135eb9fefe8c;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
2;Robinhood says dogecoin accounted for 62% of crypto revenue in Q2 as meme-inspired currency soared;Ari Levy Mackenzie Sigalos;2021-08-18 20:11:15;full;https://www.cnbc.com/2021/08/18/robinhood-crypto-revenue-jumped-over-45-fold-in-q2-to-233-million.html;cnbc.com;Robinhood, which derives significant revenue from crypto trading, announced earnings on Wednesday for the first time since its IPO last month.;"Robinhood said crypto accounted for more than half of all transaction-based sales in the second quarter, and 62% of crypto revenue came from dogecoin, a meme-inspired digital coin originally started as a joke.

In its first earnings report since its IPO last month, Robinhood said its revenue from crypto transactions was $233 million, up from $5 million in the year-ago quarter. Crypto accounted for 52% of transaction-based revenue, up from 17% in the first quarter and 4% in the fourth quarter of ";cnbc.com;143;world;US;en;['Ari Levy Mackenzie Sigalos', 'Ari Levy', 'Mackenzie Sigalos'];https://image.cnbcfm.com/api/v1/image/106884095-1621274532356-gettyimages-1232878889-Dogecoins.jpeg?v=1621274619;False;@levynews;27.289686;8d55338e8e6f3d3544829b2e8bf7c203;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
3;What Happened in Crypto: Bitcoin Hits $50,000;Anuz Thapa;2021-08-23 15:36:24;full;https://www.thestreet.com/latest-news/crypto-bitcoin-paypal-ethereum-dogecoin;thestreet.com;Bitcoin has spiked over $50K for the first time in more than three months.;Bitcoin's price spiked over $50,000 for the first time in more than three months.Related: Coinbase and MicroStrategy Stocks Rise as Bitcoin SurgesBitcoin, which accounts for over half of the entire cryptocurrency market capitalization, hit an all-time high of over $64,000 in April. However, in July, its price slumped below 30,000.On Sunday, Dogecoin Millionaire Glauber Contessoto also took to Twitter (TWTR) - Get Report and predicted that Dogecoin would hit 40 cents soon.Related: Dogecoin's Firs;thestreet.com;1376;news;US;en;['Anuz Thapa'];https://www.thestreet.com/.image/t_share/MTgyNDI0MjAyNTU5NjI4NDE5/bitcoin_ethereum_071421.jpg;False;@thestreet;27.222769;3278d65083e8d1120d8abee1c94e3ecb;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
4;"Cryptocurrency prices today: Bitcoin slips 3%; Ethereum, Dogecoin & Stellar fall up to 7.5%";;2021-08-25 07:45:00;timezone unknown;https://www.businesstoday.in/crypto/story/cryptocurrency-prices-bitcoin-slips-ethereum-dogecoin-stellar-prices-fall-305125-2021-08-25;businesstoday.in;On Coinmarketcap, the price of bitcoin fell 3.03% to $48,018. Market cap of the cryptocurrency slipped to $903.991 billion;BusinessToday.In Aug 25, 2021, Updated Aug 25, 2021, 10:58 AM IST World's largest traded cryptocurrency bitcoin fell 3% today. On Coinmarketcap, the price of bitcoin fell 3.03% to $48,018. Market cap of the cryptocurrency slipped  to $903.991 billion. Bitcoin has risen 65.24% since the beginning of this year. Currently, the global crypto market cap stands at $2.06 trillion, 3.88% lower over the last day. Other cryptocurrencies were also trading in the red today. Ethereum declined 4.63% to $3,188;businesstoday.in;5767;news;IN;en;[];https://akm-img-a-in.tosshub.com/businesstoday/images/story/202108/bitcoin_value_1200_230621090455_6-sixteen_nine.jpg;False;@BusinessToday;27.109478;bab972ab0572dfaf99853db7afcda11a;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
5;Why Bitcoin, Dogecoin, and Ethereum Dropped Today;Rich Smith (TMFDitty);2021-08-18 15:20:36;full;https://www.fool.com/investing/2021/08/18/why-bitcoin-dogecoin-and-ethereum-dropped-today/;fool.com;"""Garbage coins,"" ""Ponzi schemes,"" and ""fraud"" -- one federal official has some choice words and warnings for cryptocurrency investors.";"Cryptocurrency prices traded sharply lower Wednesday, with Bitcoin (CRYPTO:BTC) prices down 2% over the past 24 hours, according to data from Coindesk. As of 10:15 a.m. EDT, Ethereum (CRYPTO:ETH) investors are being treated to a 4.9% decline, while Dogecoin (CRYPTO:DOGE) is suffering worst of all -- down 9.6%.
The question is why?

Image source: Getty Images.

So what
Today's headlines contain a couple of notes that may be worrying cryptocurrency investors. On the one hand, Minneapolis Federal R";Copyright 1995-2021 The Motley Fool. All rights reserved.;781;finance;unknown;en;['Rich Smith'];https://g.foolcdn.com/editorial/images/639782/red-stock-market-chart-with-arrows-pointing-down-and-a-bitcoin-symbol.jpg;False;@themotleyfool;27.011314;995c417e5b389a3f9da7233ad6c6926b;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
6;Why Bitcoin, Dogecoin, and Ethereum Dropped Today;;2021-08-18 15:20:36;full;https://www.nasdaq.com/articles/why-bitcoin-dogecoin-and-ethereum-dropped-today-2021-08-18;nasdaq.com;;;;870;finance;US;en;[];;False;;26.956966;01cd2cd852ecce220a5e1f2841b803c8;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
7;Dogecoin Is A Dangerous Speculative Joke Controlled By Whales: Report;Adrian Zmudzinski;2021-08-25 01:21:31;full;https://www.benzinga.com/markets/cryptocurrency/21/08/22642111/dogecoin-is-a-dangerous-speculative-joke-controlled-by-whales-report;benzinga.com;The Dogecoin (CRYPTO: DOGE) blockchain sees little use, and on-chain data suggests that it is largely controlled by a ha...;"The Dogecoin (CRYPTO: DOGE) blockchain sees little use, and on-chain data suggests that it is largely controlled by a handful of wealthy entities.
What Happened: According to a Motley Fool report, Dogecoin's ""blockchain is a ghost town compared to other cryptocurrencies in the market cap top 10.
The report claims that ""almost no one's using Dogecoin.""
Per the report, despite the coin being the seventh biggest crypto by market cap, it only recorded just over 23,000 daily transactions on Aug. 9, w";benzinga.com;2282;finance;US;en;['Adrian Zmudzinski'];https://cdn2.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/screen_shot_2021-08-24_at_9.20.21_pm.png?width=720;False;@benzinga;26.84073;36b1ad2e66627a1fc3e70554856a800c;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
8;Robinhood says dogecoin accounted for 62% of crypto revenue in Q2;News Wire;2021-08-19 00:29:10;timezone unknown;http://feedproxy.google.com/~r/naija247news/ASsy/~3/nlET7RgeQRQ;google.com;"Robinhood reported quarterly results on Wednesday for the first time as a public company. Crypto made up over 50% of transaction-based revenue in the second quarter, up from 17% in the first quarter....

[[ This is a content summary only. Visit my website for full links, other content, and more! ]]";"Robinhood reported quarterly results on Wednesday for the first time as a public company.

Crypto made up over 50% of transaction-based revenue in the second quarter, up from 17% in the first quarter.

More than 60% of its funded accounts traded crypto in the quarter.

Robinhood said crypto accounted for more than half of all transaction-based sales in the second quarter, and 62% of crypto revenue came from dogecoin, a meme-inspired digital coin originally started as a joke.

In its first earnin";google.com;1;news;US;en;['News Wire'];https://i2.wp.com/www.naija247news.com/wp-content/uploads/2021/08/5CA172A1-DB57-42AF-9A63-EACE6A6306E7.jpeg?fit=929%2C523&ssl=1;False;@Naija247new;26.777126;fae12e8522d4d46b95f8873236a0c678;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
9;"Cryptocurrency prices today: Bitcoin down over 2%; Stellar, XRP & Ethereum fall up to 4%";;2021-08-19 07:30:00;timezone unknown;https://www.businesstoday.in/crypto/story/cryptocurrency-prices-bitcoin-down-stellar-xrp-ethereum-fall-304542-2021-08-19;businesstoday.in;Market cap of the cryptocurrency fell to $843.83 billion;BusinessToday.In Aug 19, 2021, Updated Aug 19, 2021, 9:43 AM IST World's largest traded cryptocurrency bitcoin fell over 2% today. On Coinmarketcap, the price of bitcoin was down 2.10% to $44,101. Market cap of the cryptocurrency fell to $843.83 billion. Currently, the global crypto market cap stands at $1.90 trillion, a 0.06% fall over the last day. Other cryptocurrencies were also trading in the red today. Ethereum fell 2.44% to $2,973 and Dogecoin was down 0.26% to $0.2986. Digital token Stel;businesstoday.in;5767;news;IN;en;[];https://akm-img-a-in.tosshub.com/businesstoday/images/story/202108/bitcoin_value_1200_230621090455_4-sixteen_nine.jpg;False;@BusinessToday;26.776884;aad7714b2a7203253400eaa8c3275040;{'q': 'Bitcoin AND Ethereum AND Dogecoin', 'lang': 'en', 'to_rank': 10000, 'page_size': 100, 'page': 1}
